"","(Intercept)","Mn3","M3P","K3","Al3","l.dbh","l.light"
"sponmo",-0.387651707539541,-0.0575211185686161,0.0283160188701561,-0.0198341428023633,-0.0827972629385549,0.130323945234119,0.44223935443145
"sponra",-0.734188817580761,-0.0282751167748811,0.0279352057974321,-0.0198341428023633,-0.0827972629385549,0.0250024838515155,0.554510501587005
"sterap",-0.328713220412882,-0.0742822092109621,0.0403417314952723,-0.0198341428023633,-0.0827972629385549,0.128956903120825,0.48643546978793
"stylst",-1.27376166094766,0.0303880263842033,0.039531926545425,-0.0198341428023633,-0.0827972629385549,-0.268395263633591,0.218104272201517
"swars1",-1.08210353053985,-0.0477072175574585,0.0416300804748429,-0.0198341428023633,-0.0827972629385549,0.256007279198116,0.108665590688015
"sympgl",-0.24300760397576,-0.0978537199435667,0.0417471234414947,-0.0198341428023633,-0.0827972629385549,0.163156974403279,0.336809783233092
"tab1gu",-1.12488787117346,-0.0390712196913141,0.0307277717936995,-0.0198341428023633,-0.0827972629385549,0.138563749535408,0.297697187575635
"tab1ro",-0.889801771229589,-0.0902619667241408,0.0165325604967672,-0.0198341428023633,-0.0827972629385549,-0.0682663660473878,0.532577280827379
"tab2ar",-0.540750879038901,-0.0920257268686189,0.0413410468385577,-0.0198341428023633,-0.0827972629385549,0.195011864392853,0.549796431138746
"tachve",-0.631053280599275,-0.0707126537537033,0.0658132632732281,-0.0198341428023633,-0.0827972629385549,0.356562094850526,0.248906119762089
"taline",-1.49777276768263,-0.0742102960184389,-0.000564967703553562,-0.0198341428023633,-0.0827972629385549,-0.5295179111956,0.228759269324503
"talipr",-1.37045218396422,-0.0435144552223896,0.04511382760061,-0.0198341428023633,-0.0827972629385549,-0.244328146720429,0.163120301912554
"termam",-0.48424883520912,-0.0887464608258432,0.0419151260696131,-0.0198341428023633,-0.0827972629385549,0.0587703291911713,0.365736542087104
